Variables,Overall
Tree.cover,100
pH_30,29.116604016636693
elevation,19.551871474686227
CNA_EMT,25.472786364899708
CNA_RH_5_8,30.180701764510847
Silt_30,15.032498431106262
drought_code,17.17707837263581
CNA_RH,20.096211590448664
Sand_30,17.643066692488723
Clay_30,18.418731883633974
slope,8.356870041099175
CNA_TD,17.213185729352567
WS,14.187795820593546
CNA_SHM,11.406351298520173
Ruggedness,13.01614662821142
OCON,0
BD_30,19.105989271443484
CNA_DD_0,21.795356261606464
energy_release_component,17.85010473318669
CNA_CMD,22.27977826953337
